Número de registros;disponibilidad_365;id_huesped;huesped_nombre;id;ultima_review;latitude;longitude;noches_minimas;descripción;barrio;zona;precio_noche;tipo_habitación
1;73;13660;Simon;6369;30/04/2019;40,45628;-3,67763;3;Rooftop terrace room with ensuite bathroom, Airc.;Hispanoamérica;Chamartín;70;Habitación privada
1;0;83531;Abdel;21853;15/07/2018;40,40341;-3,74084;4;Bright and airy room;Cármenes;Latina;17;Habitación privada
1;355;101471;Iraido;24805;03/07/2017;40,42202;-3,70395;5;Gran Via Studio Madrid;Universidad;Centro;60;Alojamiento completo
1;143;101653;Tenty;24836;05/05/2019;40,41995;-3,69764;3;"Select the Madrid more ""cool"".";Justicia;Centro;115;Alojamiento completo
1;342;114340;Agustina;26825;18/03/2019;40,38985;-3,69011;2;Single Room whith private Bathroom;Legazpi;Arganzuela;25;Habitación privada
1;303;130907;Dana;30320;30/04/2019;40,41552;-3,70346;5;Great Vacational Apartments;Sol;Centro;65;Alojamiento completo
1;323;130502;Patricia;30478;17/07/2015;40,40926;-3,70505;14;Nice little room @ La Latina;Embajadores;Centro;27;Habitación privada
1;0;132883;Angela;30959;30/05/2017;40,41111;-3,70269;3;Beautiful loft in Madrid Center;Embajadores;Centro;54;Alojamiento completo
1;0;175752;Sofia;40718;24/03/2019;40,41978;-3,6973;3;COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA;Justicia;Centro;55;Alojamiento completo
1;340;130907;Dana;40916;16/04/2019;40,42096;-3,70428;3;Holiday Apartment Madrid Center;Universidad;Centro;90;Alojamiento completo
1;254;288380;Patricia;59923;09/05/2019;40,41971;-3,71256;1;Habitación para féminas en el centro de Madrid;Palacio;Centro;40;Habitación privada
1;359;303845;Arturo;62423;12/05/2019;40,4208;-3,69878;1;MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID;Justicia;Centro;45;Habitación privada
1;332;313365;Gina;64131;30/04/2019;40,48409;-3,72257;2;Habitación Metro Lacoma;Peñagrande;Fuencarral - El Pardo;20;Habitación privada
1;103;353616;Diana;70059;16/04/2019;40,42365;-3,70889;4;PLAZA ESPAÑA/Wifi/ downtown /parking. Cozy, Bright;Universidad;Centro;58;Alojamiento completo
